Giorno,Indice
20200717,-2.124558271
20200718,-3.511839728
20200719,-3.664583439
20200720,-2.397981455
20200721,-1.437117951
20200722,-2.224515565
20200723,-1.8967962
20200724,-1.172069048
20200725,-1.501616862
20200726,-1.217362431
20200727,-1.503354166
20200728,-1.419847315
20200729,-2.876745305
20200730,-1.496447773
20200731,-0.5185782
20200801,-1.25524874
20200802,0.309648564
20200803,-0.823807825
20200804,0.737545874
20200805,-0.365514951
20200806,-2.799573378
20200807,-1.942299777
20200808,-1.817237816
20200809,-1.958402929
20200810,-0.432204653
20200811,-0.821633062
20200812,-1.187897259
20200813,-0.413081514
20200814,-1.540460449
20200815,-1.410637129
20200816,-2.704162238
20200817,-1.575994216
20200818,0.026011005
20200819,-0.675903922
20200820,-2.732110099
20200821,-2.253916746
20200822,-1.681215134
20200823,-1.186283407
20200824,-2.201479239
20200825,-4.312825435
20200826,-1.970934742
20200827,-0.964315209
20200828,-1.308446752
20200829,0.637541185
20200830,-0.533819481
20200831,-1.649388844
20200901,-1.038693726
20200902,-1.48540063
20200903,-0.66605512
20200904,-2.136580447
20200905,-0.051807552
20200906,-2.098560739
20200907,-1.538513401
20200908,-1.146710467
20200909,-0.751007656
20200910,-0.284732434
20200911,0.528893435
20200912,-1.201855766
20200913,-1.952984137
20200914,-0.893226073
20200915,-1.792135699
20200916,-1.342913889
20200917,-0.113272884
20200918,-0.892162129
20200919,-0.072986786
20200920,-0.030866728
20200921,0.516320198
20200922,-0.495235943
20200923,-0.140079585
20200924,0.11579279
20200925,-1.1010395
20200926,-1.639714038
20200927,0.093406121
20200928,-0.210563716
20200929,-0.729638267
20200930,0.112752824
20201001,-0.370079081
20201002,-1.020695218
20201003,-1.352612039
20201004,-2.293899003
20201005,-1.61935922
20201006,1.015229288
20201007,-1.128613884
20201008,-2.945611636
20201009,-1.225203352
20201010,-3.744938588
20201011,-2.19920885
20201012,-1.07903156
20201013,-2.209335193
20201014,-1.924621426
20201015,-1.751507647
20201016,-3.857683421
20201017,-4.442808319
20201018,-2.901558433
20201019,-3.610223629
20201020,-3.453829069
20201021,-3.302554354
20201022,-3.697472355
20201023,-3.854283295
20201024,-5.94738039
20201025,-4.163390609
20201026,-3.511714303
20201027,-3.550962658
20201028,-3.106167121
20201029,-1.580453029
20201030,-1.403654019
20201031,-2.595130581
20201101,-4.472464365
20201102,-3.429935438
20201103,-3.040009582
20201104,-4.499257802
20201105,-2.786462492
20201106,-1.977753192
20201107,-2.56999229
20201108,-1.941326094
20201109,-1.79835564
20201110,-1.386871797
20201111,-1.895895528
20201112,-2.144642523
20201113,-2.605435787
20201114,-2.5315929
20201115,-1.590284378
20201116,-1.771571589
20201117,-0.373840006
20201118,-1.15137613
20201119,-1.400588044
20201120,-1.495135189
20201121,-2.255212915
20201122,-3.117366342
20201123,-3.856097676
20201124,-3.546505561
20201125,-2.463029403
20201126,-0.844069106
20201127,-1.195753389
20201128,-3.11329425
20201129,-2.87169509
20201130,-3.564046231
20201201,-2.86834371
20201202,-2.242866627
20201203,-2.080630594
20201204,-2.258719935
20201205,-2.59749382
20201206,-1.392047288
20201207,-2.143977371
20201208,-2.821878306
20201209,-2.033929014
20201210,-1.092148205
20201211,-0.870742782
20201212,-0.90788415
20201213,-2.358939693
20201214,-2.941365606
20201215,-1.547684249
20201216,-2.8657531
20201217,-2.631165984
20201218,-2.209813318
20201219,-2.59265703
20201220,-0.425187281
20201221,-1.024071635
20201222,0.110670596
20201223,-0.757106702
20201224,0.369719437
20201225,-0.684760342
20201226,-1.925043739
20201227,-1.939823076
20201228,-2.456538765
20201229,-1.584450792
20201230,-1.536591565
20201231,-0.520706812
20210101,-0.654359219
20210102,-3.025713945
20210103,-2.94370149
20210104,-1.691344733
20210105,-3.013510997
20210106,-2.771801273
20210107,-1.777136934
20210108,-2.189923402
20210109,-2.042396873
20210110,-2.387351274
20210111,-4.174827114
20210112,-1.561222331
20210113,-2.700793337
20210114,-2.261095861
20210115,-0.702215243
20210116,-1.423327
20210117,-2.637166287
20210118,-0.98838796
20210119,-0.908694526
20210120,-0.496127416
20210121,-0.59544231
20210122,-2.689988897
20210123,-3.514520093
20210124,-1.880966579
20210125,-1.329476233
20210126,-1.069932674
20210127,-2.042497302
20210128,0.464915968
20210129,0.430342827
20210130,-0.261468305
20210131,-0.265927669
20210201,-1.579833742
20210202,0.887552216
20210203,0.799697532
20210204,0.098725303
20210205,0.079788084
20210206,0.077530539
20210207,-0.12390981
20210208,0.143826928
20210209,-0.597640761
20210210,-0.211873654
20210211,-1.059595914
20210212,1.012261291
20210213,0.047360844
20210214,-1.389316253
20210215,-0.728684038
20210216,-0.472404742
20210217,1.905491988
20210218,-0.182545022
20210219,-0.552466644
20210220,-1.876185607
20210221,-0.900007136
20210222,-1.432568968
20210223,-1.446371178
20210224,-0.073686013
20210225,-0.225441847
20210226,-1.375459586
20210227,-1.462446353
20210228,-1.059479607
20210301,-1.508492567
20210302,-2.458677935
20210303,-2.909636261
20210304,-1.873464731
20210305,-3.340131927
20210306,0.636033444
20210307,0.032880269
20210308,0.712564855
20210309,3.227132581
20210310,-1.38935032
20210311,-0.5780854
20210312,-1.254373211
20210313,-3.388263831
20210314,-2.660232042
20210315,-2.721454017
20210316,-2.09095674
20210317,-3.333960492
20210318,-4.464216127
20210319,-3.014352452
20210320,-4.504278439
20210321,-4.585863588
20210322,-3.26172858
20210323,-3.730216459
20210324,-2.363719953
20210325,-1.808981636
20210326,-1.742614161
20210327,-3.175672855
20210328,-1.844737723
20210329,-2.117917527
20210330,-2.634251579
20210331,-2.306480418
20210401,-2.741247168
20210402,-2.934807024
20210403,-3.056300752
20210404,-4.480312011
20210405,-2.828989969
20210406,-2.840310849
20210407,-3.072980904
20210408,-0.967815037
20210409,-3.095573954
20210410,-2.206146739
20210411,-2.311311002
20210412,-2.362646803
20210413,-1.678062459
